分类: 📡卫视频道, 名称: 东方卫视, 有效: 5, IPv4: 65, IPv6: 0, 最小延迟: 145 ms, 最高速率: 10.59 M/s, 平均速率: 4.95 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 东南卫视, 有效: 6, IPv4: 51, IPv6: 0, 最小延迟: 65 ms, 最高速率: 6.15 M/s, 平均速率: 1.79 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 甘肃卫视, 有效: 5, IPv4: 45, IPv6: 0, 最小延迟: 401 ms, 最高速率: 8.19 M/s, 平均速率: 2.75 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 广西卫视, 有效: 5, IPv4: 59, IPv6: 0, 最小延迟: 401 ms, 最高速率: 8.25 M/s, 平均速率: 2.82 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 贵州卫视, 有效: 4, IPv4: 51, IPv6: 0, 最小延迟: 401 ms, 最高速率: 8.25 M/s, 平均速率: 2.91 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 海南卫视, 有效: 6, IPv4: 41, IPv6: 0, 最小延迟: 2469 ms, 最高速率: 1.35 M/s, 平均速率: 0.84 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 河北卫视, 有效: 5, IPv4: 56, IPv6: 0, 最小延迟: 404 ms, 最高速率: 8.21 M/s, 平均速率: 2.45 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 河南卫视, 有效: 6, IPv4: 81, IPv6: 0, 最小延迟: 100 ms, 最高速率: 10.20 M/s, 平均速率: 3.66 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 吉林卫视, 有效: 5, IPv4: 68, IPv6: 0, 最小延迟: 51 ms, 最高速率: 22.26 M/s, 平均速率: 15.25 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 江苏卫视, 有效: 5, IPv4: 82, IPv6: 0, 最小延迟: 399 ms, 最高速率: 8.26 M/s, 平均速率: 2.26 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 江西卫视, 有效: 6, IPv4: 75, IPv6: 0, 最小延迟: 433 ms, 最高速率: 11.05 M/s, 平均速率: 2.77 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 辽宁卫视, 有效: 5, IPv4: 71, IPv6: 0, 最小延迟: 70 ms, 最高速率: 15.15 M/s, 平均速率: 4.69 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 内蒙古卫视, 有效: 0, IPv4: 35, IPv6: 0, 最小延迟: 373 ms, 最高速率: 5.48 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 宁夏卫视, 有效: 5, IPv4: 48, IPv6: 0, 最小延迟: 420 ms, 最高速率: 10.86 M/s, 平均速率: 3.01 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 青海卫视, 有效: 1, IPv4: 49, IPv6: 0, 最小延迟: 424 ms, 最高速率: 10.33 M/s, 平均速率: 10.33 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 山东卫视, 有效: 6, IPv4: 68, IPv6: 0, 最小延迟: 400 ms, 最高速率: 8.28 M/s, 平均速率: 2.10 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 山西卫视, 有效: 6, IPv4: 52, IPv6: 0, 最小延迟: 2212 ms, 最高速率: 1.57 M/s, 平均速率: 1.02 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 陕西卫视, 有效: 3, IPv4: 52, IPv6: 0, 最小延迟: 433 ms, 最高速率: 10.25 M/s, 平均速率: 4.17 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 四川卫视, 有效: 6, IPv4: 73, IPv6: 0, 最小延迟: 26 ms, 最高速率: 5.87 M/s, 平均速率: 1.65 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 深圳卫视, 有效: 5, IPv4: 51, IPv6: 0, 最小延迟: 442 ms, 最高速率: 10.78 M/s, 平均速率: 2.83 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 三沙卫视, 有效: 3, IPv4: 7, IPv6: 0, 最小延迟: 435 ms, 最高速率: 11.88 M/s, 平均速率: 4.15 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 天津卫视, 有效: 5, IPv4: 56, IPv6: 0, 最小延迟: 32 ms, 最高速率: 31.15 M/s, 平均速率: 22.96 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 西藏卫视, 有效: 2, IPv4: 36, IPv6: 0, 最小延迟: 4239 ms, 最高速率: 1.51 M/s, 平均速率: 1.03 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 新疆卫视, 有效: 2, IPv4: 43, IPv6: 0, 最小延迟: 374 ms, 最高速率: 5.48 M/s, 平均速率: 1.12 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 云南卫视, 有效: 3, IPv4: 54, IPv6: 0, 最小延迟: 403 ms, 最高速率: 8.20 M/s, 平均速率: 3.42 M/s, 最高分辨率: 1920x1080
分类: ☘️广东频道, 名称: 广东珠江, 有效: 3, IPv4: 8, IPv6: 0, 最小延迟: 312 ms, 最高速率: 5.28 M/s, 平均速率: 3.71 M/s, 最高分辨率: 1920x1080
分类: ☘️广东频道, 名称: 广东体育, 有效: 1, IPv4: 7, IPv6: 0, 最小延迟: 2686 ms, 最高速率: 0.90 M/s, 平均速率: 0.90 M/s, 最高分辨率: 1920x1080
分类: ☘️广东频道, 名称: 广东新闻, 有效: 2, IPv4: 7, IPv6: 0, 最小延迟: 366 ms, 最高速率: 6.50 M/s, 平均速率: 5.51 M/s, 最高分辨率: 1280x720
分类: ☘️广东频道, 名称: 广东民生, 有效: 0, IPv4: 3, IPv6: 0, 最小延迟: 429 ms, 最高速率: 0.01 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
分类: ☘️广东频道, 名称: 广州综合, 有效: 1, IPv4: 2, IPv6: 0, 最小延迟: 3020 ms, 最高速率: 0.24 M/s, 平均速率: 0.24 M/s, 最高分辨率: 1280x720
分类: ☘️广东频道, 名称: 广州竞赛, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: 479 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1280x720
分类: ☘️广东频道, 名称: 大湾区卫视, 有效: 1, IPv4: 7, IPv6: 0, 最小延迟: 382 ms, 最高速率: 5.87 M/s, 平均速率: 5.87 M/s, 最高分辨率: 1920x1080
分类: ☘️广东频道, 名称: 广州影视, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None
